CO2 per capita,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Chile,3.784761198,3.837292707,3.996811795,3.80605394,3.380649654,3.507076675,3.450754865,3.721850285,3.786388427,3.909644149,4.277455271,4.240259136,3.966877602,4.221864198
China,2.802597286,2.661320024,2.634231569,2.682866158,2.728882885,2.872547831,3.498358878,4.065723469,4.427592166,4.879028386,5.139069376,5.296193599,5.761825473,6.177530373
Colombia,1.718162115,1.716238632,1.445093764,1.456554292,1.392010183,1.354889456,1.375837526,1.299164209,1.415873837,1.44026659,1.430214323,1.47609182,1.551750085,1.634580982
Comoros,0.126886231,0.137391632,0.147238487,0.149934189,0.152362748,0.154536923,0.16248927,0.164036753,0.171080013,0.183178187,0.178307756,0.178853064,0.174170432,0.189633662
Congo,0.810490788,0.261435359,0.26881043,0.334420466,0.268153805,0.215166687,0.322519519,0.342642829,0.411999361,0.368833081,0.385280842,0.384220477,0.478165334,0.501537799
Costa Rica,1.366860521,1.421348964,1.441209509,1.396805794,1.439023493,1.549031311,1.592540657,1.636129904,1.644694223,1.697011744,1.925313584,1.911933419,1.702829651,1.667708761
Cote d'Ivoire,0.527558288,0.435283101,0.385789334,0.409528933,0.457333148,0.424062366,0.31277628,0.432179251,0.434198441,0.381753139,0.369090155,0.361896603,0.302618026,0.29407195
Croatia,4.171323932,4.454974773,4.513027266,4.359602589,4.621766236,4.898179502,5.282068991,5.179208014,5.201202045,5.226528119,5.509947481,5.287902576,4.886268692,4.742244317
Cuba,2.238235466,2.21566943,2.283471363,2.344764597,2.284555613,2.334435811,2.273667684,2.225462106,2.310595418,2.432699957,2.372385236,2.701777167,2.654620218,3.407420343
Cyprus,6.606732693,7.038088935,6.996548187,7.261080144,7.119911415,7.165887315,7.76215084,7.219226243,7.265423287,7.429369477,7.709117454,7.94273481,7.464650661,6.983513146
Denmark,10.809832,10.57868801,9.571741038,8.850265221,9.154250034,9.172628705,10.35004201,9.36852657,8.689944331,10.1053826,9.18756731,8.541507801,8.054240996,8.341948729
Djibouti,0.660903786,0.596084807,0.623501266,0.551054518,0.513604517,0.52224689,0.522035811,0.577436551,0.585130269,0.592056967,0.580933854,0.612799524,0.609646558,0.606492963
Dominica,1.138619917,1.093454891,1.152331567,1.473571401,1.636739768,1.481460104,1.642581888,1.592195348,1.649135534,1.601164483,2.196763792,1.88285235,1.88942218,2.00225315
Ecuador,1.552119832,1.858537021,1.750905842,1.696257134,1.867797915,1.933646448,2.041963069,2.169375743,2.227352744,2.176390677,2.220694554,2.110517801,2.136511516,2.256060986
Egypt,1.685249652,1.871589273,1.88665468,2.088937708,1.820930715,1.812364331,2.06927612,2.071494326,2.253172813,2.363415679,2.500135211,2.512394205,2.481971367,2.52409946
El Salvador,0.986509971,0.988698667,0.963950159,0.966617034,0.996866647,1.008477793,1.090506491,1.055822349,1.066576228,1.126953876,1.130494874,1.067764634,1.051118297,1.008882135
Equatorial Guinea,0.620829682,0.345600796,0.938490201,0.873720486,5.760788292,8.981011696,10.51924916,8.846591635,7.752779839,7.593759438,7.447945137,6.798253229,6.782995529,6.679982848
Eritrea,0.158313387,0.172195996,0.175052768,0.165958842,0.165421937,0.152240591,0.175129659,0.178309134,0.170821858,0.120753268,0.120730638,0.083745644,0.100693122,0.097709363
Estonia,12.50367021,11.87224333,11.07735817,11.07423752,11.44266962,11.00829203,12.6113665,12.76651916,12.46690151,12.04455033,14.03185558,13.03137887,10.98937684,13.67269636
Ethiopia,0.070688003,0.080853511,0.079454541,0.088901905,0.064013291,0.064898946,0.069879245,0.072295294,0.068036682,0.071313208,0.07609949,0.080167238,0.082015656,0.07828454
Faeroe Islands,14.41655618,14.87893954,14.80659715,15.55064892,17.08442987,16.24630766,16.37456466,16.60579498,15.87992319,15.80883617,15.92824398,14.78829283,13.72407883,14.60403493
Fiji,0.929188756,0.879247145,0.995133389,1.066051675,1.368058453,1.024088121,1.054234126,1.383222114,1.658251809,1.642823386,1.439858951,1.277779556,0.993754715,1.499688791
Finland,11.67224497,11.06259001,10.73577173,10.07782806,10.88081802,11.75070541,13.21960352,12.83667686,10.41897471,12.56959193,12.09277656,10.64411428,9.95273653,11.52722585
France,6.511920454,6.992889001,6.319416724,6.190346876,6.495829652,6.370695461,6.439525682,6.437106167,6.427193278,6.232633759,6.087139998,5.999020726,5.71531184,5.753381167
French Guiana,6.062896647,5.479887139,4.225520633,3.467023875,3.669034474,3.126672017,3.916395634,3.574812793,3.267439961,2.761640226,3.164369972,3.150988265,3.106366054,3.029765536
French Polynesia,2.660233442,2.591950989,2.496445883,2.653896543,3.052417084,3.008163265,3.218485218,3.133006388,3.337649259,3.295637542,3.226896758,3.284935038,3.260050681,3.263604714
Gabon,3.08744102,1.385191272,1.190967429,0.851902763,1.410742065,1.377984686,1.013042031,1.314812872,1.522061132,1.414503757,1.638058016,1.079539317,0.054596211,1.709773007
Gambia,0.181616442,0.191557745,0.203657961,0.212014025,0.211378924,0.229160838,0.222407483,0.220929965,0.214584949,0.218019952,0.248844225,0.251002328,0.259454428,0.273664454
Georgia,0.900924866,1.020006604,0.904240043,0.955729301,0.804496701,0.732376805,0.82562343,0.956499094,1.131857615,1.384029306,1.401584013,1.419429779,1.384967026,1.433896323
Germany,10.47297493,10.38593584,9.987493757,10.07786447,10.36102497,10.05308301,10.10292354,10.00700282,9.77250761,9.799174272,9.500478837,9.497246757,8.88512538,9.05581625
Ghana,0.358139296,0.350197496,0.349902759,0.328107099,0.352430043,0.369686116,0.370208698,0.347918133,0.321429252,0.418918978,0.421678557,0.366600849,0.312424771,0.368894117
Gibraltar,4.443465168,11.46339071,11.85664241,12.20077032,12.48113948,12.31436159,12.51906606,12.73457669,13.36772714,13.79530504,14.01784089,14.14734638,14.66315753,15.67273059
Greece,7.812024149,8.066623278,7.920254135,8.337942618,8.501961723,8.458277636,8.615670327,8.714337988,8.822795988,8.670475579,8.727772148,8.661235531,8.377921604,7.633303302
Greenland,9.406432014,9.516649662,9.686670713,9.460934349,9.557584892,9.519940655,9.353083292,10.22071843,10.64288629,10.94622905,10.74743527,11.13107804,9.725906278,11.07116262
Grenada,1.741901642,1.738803979,1.917372115,1.878082255,1.910266618,2.013980161,2.116868079,2.004131895,2.105761806,2.241913099,2.305678095,2.509890124,2.430425469,2.491538022
Guadeloupe,3.734328079,3.648162764,3.755204502,4.857830814,4.853900005,4.658925024,4.661707242,4.143940918,3.849138879,3.804620915,3.85108925,3.81770775,3.79428761,3.772798513
Guatemala,0.724831604,0.816208863,0.813566418,0.882315347,0.922985759,0.940254517,0.867980937,0.936710015,0.979149895,0.960907218,0.945840465,0.83559482,0.843925573,0.772631051
Guinea,0.160315938,0.153217506,0.154669583,0.153354762,0.153204446,0.153826439,0.153477477,0.150967661,0.130583803,0.128306264,0.129085682,0.1269644,0.125838134,0.123794572
Guinea-Bissau,0.225521711,0.144382958,0.159695138,0.118217125,0.118854203,0.119423726,0.147805044,0.150406146,0.155492757,0.155022984,0.162197346,0.156376432,0.158118391,0.157292475
Guyana,2.195750193,2.263876454,2.300764461,2.195695636,2.169102998,2.141341163,2.11312436,2.188928165,1.921199979,1.724750029,2.087366301,2.073415312,2.064594724,2.254935875
Haiti,0.173767096,0.147682281,0.156673798,0.158196411,0.178497003,0.204359094,0.191102709,0.215718255,0.222025801,0.222805116,0.248808697,0.249306755,0.229346924,0.212076549
Honduras,0.712522279,0.779695974,0.778468363,0.809029351,0.9000192,0.940225369,1.024106755,1.092420807,1.097989028,0.998465467,1.226179905,1.187453516,1.055715609,1.066636985
Hong Kong,4.809917221,5.976615386,6.387567868,5.964879227,5.559973889,5.404455849,5.872270853,5.642391203,5.953476178,5.641942835,5.814144107,5.56852692,5.293807535,5.144528714
Hungary,6.005209687,5.920257175,5.895722575,5.605283557,5.598287019,5.52096592,5.828235983,5.672051192,5.741221451,5.686384665,5.561755826,5.453231724,4.866039934,5.066085583
Iceland,7.714035782,7.623145917,7.428080876,7.69294596,7.398095721,7.569021409,7.479532244,7.621056368,7.426179107,7.56453274,7.555908819,6.821903051,6.507301171,6.127604102
India,1.043262704,1.05237575,1.104247446,1.125872915,1.123541704,1.126744136,1.159068258,1.200723575,1.237672175,1.300067332,1.372484618,1.520849421,1.641149581,1.640222788
Indonesia,1.358767943,1.011318263,1.14888234,1.234304899,1.363903298,1.400330656,1.427895896,1.503093722,1.504425379,1.500915597,1.615365416,1.75504422,1.908326328,1.809097873
Iran,4.357218722,4.897636893,5.95347043,5.703332935,6.013707836,5.983106901,6.153554262,6.494673898,6.729845975,7.223400378,7.555636648,7.892210941,7.895171594,7.726537146
Iraq,3.149507493,3.228261954,3.122990493,3.036311189,3.475657109,3.45784363,3.515701201,4.285499487,4.194502711,3.537022027,2.169443125,3.166713703,3.47087626,3.620173886
Ireland,9.948335904,10.30947582,10.71178952,10.86857459,11.41974191,11.11799666,10.80478789,10.75766491,10.46903005,10.28141652,10.38840669,9.882531034,9.206180194,8.947851182
Israel,11.25893932,10.88847895,10.54754576,10.42158323,10.72255377,10.11600724,10.25114086,9.765522382,9.120903923,9.765991137,9.597724453,10.00118814,9.230611591,9.523527086
Italy,7.675093121,7.832074106,7.738377809,7.921192233,7.872607491,7.871308722,8.093183667,8.113530975,8.067625767,7.943251848,7.775988634,7.465942415,6.664962175,6.709572975
Jamaica,4.236839445,3.839540039,3.820037219,3.996671893,4.080142194,3.922236168,4.051490356,4.02041805,3.969317929,4.457657446,4.975436581,4.391456474,3.145994506,2.611162916
Japan,9.605144835,9.247590692,9.542878595,9.699930931,9.54899042,9.652170607,9.805642598,9.972653819,9.795391138,9.735434475,9.888296731,9.536605686,8.696445457,9.251199185
Jordan,3.129632954,3.105925693,3.065908366,3.212352382,3.258890191,3.378099909,3.427255194,3.692444815,3.935727966,3.77268279,3.800302888,3.549467779,3.526956355,3.364889204
Kazakhstan,8.367557469,8.191950107,7.723099965,8.541838635,9.927393996,10.19563648,10.28152014,11.43539763,11.66185127,12.57252351,14.23442812,14.71810426,13.51341683,15.5185722
Kenya,0.285532198,0.337942083,0.33390066,0.333304526,0.292065065,0.241973384,0.199791151,0.219669222,0.240397827,0.261998311,0.2622454,0.266308378,0.312940918,0.306726998
Kiribati,0.367986819,0.406980329,0.355452151,0.39281038,0.300019482,0.462819527,0.454326995,0.486736432,0.677624618,0.744827193,0.540106408,0.569759251,0.411451267,0.626176173
Kuwait,32.7110282,29.33636032,29.08509524,28.42971868,27.42718076,25.48471297,28.98802857,29.01534684,31.59889176,31.36899175,30.73308555,31.37388322,30.93467599,34.23316569
Latvia,3.42914606,3.335097928,2.841818831,2.616662446,2.894856677,2.829945171,3.036411086,3.075016166,3.112374548,3.306760631,3.474320749,3.341848663,3.017479002,3.381644657
Lebanon,4.349220028,4.439235517,4.498333755,4.102347317,4.261656599,4.145788656,4.629661392,4.210477695,4.008304503,3.538292165,3.620668306,3.996721795,4.983253872,4.825751682
Liberia,0.15067359,0.152968086,0.150131153,0.153245133,0.170902602,0.167663413,0.175039365,0.202734097,0.232728229,0.229047855,0.195080501,0.157352183,0.137645926,0.200127421
Libya,9.083210734,9.019684933,8.689751562,9.005473389,9.021358286,8.801144878,8.872426742,8.907861601,9.030495877,9.125391503,8.999478061,9.819522724,10.80503455,9.288532864
Lithuania,4.287704177,4.562396098,3.885463859,3.485400688,3.712376421,3.815559256,3.746261426,3.883479116,4.096320923,4.206329703,4.479374782,4.498483391,3.764232726,4.079699259
Luxembourg,18.92986451,17.29787528,17.84589187,18.91887548,20.02234311,21.26074214,22.18861555,24.98994577,25.24659319,24.39005182,22.84565937,22.16807969,20.59399388,21.33749008
Macao,3.648380165,3.750683739,3.612292164,3.786659627,3.831026011,3.393611467,3.343809491,3.673475465,3.816032739,3.307877208,2.776959345,2.298460385,2.450449772,1.895193529
Macedonia,5.36226198,6.336231675,5.857716472,6.004373786,5.950836816,5.406835439,5.576434583,5.504403342,5.533887867,5.353489721,5.555712897,5.771917892,5.546077367,5.276066137
Madagascar,0.121683162,0.120437353,0.129262541,0.12194959,0.109909213,0.075626971,0.101014407,0.104140784,0.097376153,0.091334014,0.095625006,0.099422148,0.090554549,0.0971815
Malawi,0.073552748,0.078085102,0.091311952,0.080656011,0.07855323,0.074677516,0.078798216,0.078196861,0.071488434,0.072247788,0.070152696,0.082469881,0.073372482,0.083172039
Malaysia,5.73007701,5.114866135,4.719524749,5.406455633,5.704422921,5.511518925,6.394672388,6.538271649,6.79521184,6.418045513,7.588934077,7.752233946,7.294004038,7.632977838
Maldives,1.415690484,1.264525942,1.733680814,1.825040136,2.072301358,2.442140865,2.084895842,2.671358727,2.37208147,2.963517123,3.019930443,3.277725768,3.422735044,3.401026745
Mali,0.050555997,0.048487613,0.049135234,0.048043479,0.046936668,0.046131635,0.043537599,0.044210382,0.043131879,0.041811363,0.041319605,0.041078867,0.041069149,0.040555698
Malta,6.443609477,5.452063778,5.935833972,5.194336806,6.218949033,5.715436402,6.37701639,6.321481987,6.593451341,6.261494001,6.602715733,6.182771022,6.013679495,6.215062283
Marshall Islands,1.276669826,1.341549522,1.267281106,1.476651644,1.547383834,1.619739049,1.622044417,1.693349754,1.620641723,1.755730064,1.88618134,1.872163389,1.92274078,1.899897603
Martinique,5.43746428,5.49571373,5.4768457,5.528321945,5.469774536,5.330862434,5.802898226,6.086200367,6.275820639,5.960163168,5.393487758,5.316067699,5.649032913,5.619980254
Mauritania,1.236647764,0.445234191,0.466947406,0.467569744,0.496011506,0.511962923,0.511449849,0.550397152,0.549894894,0.535363775,0.595765768,0.613103977,0.654601007,0.640119068
Mauritius,1.719162047,1.8716873,2.083350922,2.314607725,2.455006942,2.441571419,2.550271807,2.563816445,2.713365193,2.981538147,3.046812736,3.078762897,2.992133584,3.169454596
Mexico,3.754669076,3.849167281,3.875742211,3.816378713,3.89584638,3.811742861,3.903615383,3.904951024,4.0851864,4.096585267,4.173230094,4.261171866,3.98271221,3.911318575
Micronesia,0.713313015,0.749655375,1.094149718,1.266693432,1.640413832,1.361453537,1.353950304,1.346479873,1.072330522,0.935127077,0.899247902,0.897007258,0.894502873,0.924391942
Moldova,1.663086065,1.485327945,1.080527884,0.855342702,0.919343017,1.004246779,1.10101378,1.189684386,1.299485303,1.344294059,1.276303676,1.313321187,1.261962857,1.358752567
Mongolia,3.28740656,3.256305554,3.161896055,3.112616388,3.238153527,3.370135045,3.232633598,3.400594905,3.39413011,3.674977223,3.84478265,3.759486815,4.075487859,4.176220062
Montenegro,3.371343904,3.565346706,2.473520616,2.760902833,2.977457077,3.191799135,3.418872403,3.739135948,3.539748704,3.800721021,3.585142625,4.370733568,2.890596704,4.087686794
Montserrat,5.858014829,7.513661202,8.366976771,11.15392415,12.73148148,14.16309013,14.04003762,13.09031692,12.4426981,13.36805556,13.17365269,13.10415248,13.06191688,12.9760701
Morocco,1.14980954,1.140762281,1.165442654,1.17742931,1.294634301,1.298660836,1.261581055,1.439624399,1.505877239,1.544553132,1.62079082,1.594083135,1.565905233,1.583769339
Mozambique,0.066756077,0.06550829,0.066982439,0.074136522,0.084548411,0.082690882,0.097239785,0.094898059,0.087738671,0.092997251,0.109606663,0.104748301,0.112605287,0.123211019
Myanmar,0.172963192,0.183781625,0.201558077,0.22436666,0.192459153,0.20186676,0.214751544,0.269884952,0.250691754,0.270563061,0.269319213,0.1910534,0.218299021,0.187526449
Namibia,1.0255696,1.057743748,0.899317174,0.866458949,1.041452029,0.891858146,0.932942032,0.960029964,1.110603086,1.0989687,1.115802618,1.626354702,1.419516478,1.390683936
Nauru,12.0302247,11.66799257,10.94963169,10.22474521,10.21965625,9.843889828,9.098428453,8.718050327,8.700810757,7.598934175,8.666535356,8.644400786,8.258258258,8.223630749
Nepal,0.122643487,0.09681053,0.13512206,0.132537692,0.138269598,0.106001327,0.112902376,0.10361353,0.118808734,0.095639579,0.09511109,0.105412983,0.119096386,0.125325313
Netherlands,10.98180249,10.73193758,10.33325955,10.42363724,10.48417167,10.74091351,10.84569481,10.90208575,10.56163794,10.20794675,10.4448877,10.53302813,10.24409211,10.95895573
Netherlands Antilles,34.34502213,1.541356394,11.6866354,31.22711183,31.84302978,30.58777821,30.3659367,31.51364629,30.8370123,29.34110581,32.67322947,30.78135443,31.16084368,23.55053507
New Caledonia,9.155498062,8.855813223,9.788924806,10.84613026,8.830676411,11.04633789,12.30447077,11.22952767,12.28146097,11.82815834,12.32320188,13.50974911,11.53908465,15.62429412
New Zealand,8.253620854,7.915837401,8.569781213,8.526022248,8.832480553,8.379147991,8.439927785,8.520526027,8.204089692,8.01691222,7.949354603,8.009084401,7.477318582,7.222302602
Nicaragua,0.651287926,0.696473819,0.726031904,0.741470137,0.76984806,0.773412541,0.834110052,0.826298871,0.796287939,0.812956776,0.825776249,0.778151613,0.787242078,0.785511166
Niger,0.102887928,0.105473509,0.100459297,0.072847097,0.067119827,0.069535908,0.072617315,0.076858019,0.063773593,0.059930044,0.058895256,0.063437109,0.072489628,0.091005089
Nigeria,0.348634637,0.340550825,0.370781853,0.640110522,0.657776064,0.755715044,0.699869981,0.711427662,0.74870905,0.687217309,0.647841963,0.614689662,0.464195492,0.49805211
Niue,1.772192686,1.823305155,1.87745349,1.929824561,3.959683225,4.053805049,4.147812971,4.24382716,4.349545275,4.463379996,4.58906967,4.715969989,4.853298037,4.995458674
Norway,7.735408358,8.215055042,9.18542013,8.640737403,9.102590715,8.251537816,9.349531076,9.300466284,9.178368631,9.478448647,9.547899315,10.52976879,9.737825236,11.71008946
Oman,6.831919313,7.317230889,9.164240504,9.669651287,8.899727138,11.05951375,13.8647792,11.76620965,12.30316676,15.89965551,17.40716316,15.57208046,14.84436097,20.55621545
Pakistan,0.705388957,0.70862487,0.710563786,0.736493581,0.733766163,0.758432009,0.776311968,0.844278696,0.861188616,0.904331996,0.966157423,0.935618056,0.925987577,0.929649496
Palau,6.474634882,6.334809056,6.216006216,6.120036164,9.449197677,9.366644527,9.679493688,9.443013685,9.578351586,10.07779055,10.38870663,10.33221277,10.27228939,10.56727888
Panama,2.0259077,2.091718614,1.954958025,1.958531763,2.325870874,1.912707094,1.968497429,1.824132584,2.111691007,2.237005412,2.126239515,2.223796343,2.49429432,2.73893271
Papua New Guinea,0.514169194,0.556017815,0.47017876,0.499675518,0.585355258,0.620618406,0.68366595,0.753289336,0.75674093,0.735691774,0.766431838,0.530746337,0.497213264,0.457112629
Paraguay,0.83648244,0.878731993,0.860335861,0.69030406,0.700535755,0.700425964,0.717085342,0.706488543,0.649675518,0.66332734,0.675894854,0.698581746,0.712300577,0.786215652
Peru,1.110968953,1.108663924,1.15215749,1.171376242,1.035625397,1.022777716,0.979999437,1.170715367,1.347387227,1.258170522,1.533913715,1.450134438,1.64613477,1.980086195
Philippines,0.982389702,0.935078558,0.913885434,0.948135642,0.899713583,0.884670288,0.86914812,0.882323645,0.87467904,0.776969248,0.785797322,0.842120697,0.81543599,0.874786996
Poland,9.143668047,8.520610819,8.271701392,7.875842074,7.912304858,7.766173342,7.980185568,7.988454823,7.954155601,8.382828583,8.26421315,8.270767149,7.810876601,8.287696297
Portugal,5.212764197,5.662190353,6.283830668,6.091240351,6.055794247,6.410089131,5.854301933,6.01254637,6.193609691,5.587546549,5.737097172,5.4869264,5.386543182,4.904311763
Qatar,68.61994212,59.03245947,55.10905996,58.76400483,49.92952963,45.62677335,55.32262178,62.06937698,63.1874356,57.98689475,57.0668165,48.70206152,41.37884274,40.09833259
Reunion,3.344845493,3.516130101,3.258958812,4.093458045,4.248965397,4.151698597,4.035275576,4.035501188,4.51625268,4.661871528,4.899058555,4.940390873,5.082500436,5.16152366
Romania,5.093895127,4.569124984,4.022479632,4.054506967,4.328656246,4.187281375,4.375354927,4.366713078,4.394088872,4.726338304,4.663950028,4.383449075,3.728429376,3.664555545
Russia,10.52452842,10.33241149,10.44693374,10.61594912,10.65854383,10.70318054,11.07690138,11.10699781,11.23126521,11.63309628,11.63649419,11.98271761,11.00363332,12.17571588
Rwanda,0.103635176,0.09240437,0.088489028,0.084667516,0.081510694,0.079266717,0.076993775,0.076510514,0.057380533,0.055923874,0.057394733,0.05424447,0.055828854,0.055911118
Samoa,0.768487361,0.760618406,0.795422325,0.789204886,0.804976217,0.801174309,0.839189986,0.856988631,0.87477414,0.87221417,0.889982366,0.887378146,0.884498075,0.881212869
Sao Tome and Principe,0.357986862,0.35090819,0.344225793,0.338037491,0.357898162,0.402485347,0.445831476,0.487877357,0.504514421,0.544191349,0.535922709,0.527571337,0.564050498,0.598559829
Saudi Arabia,11.36763421,10.78389426,11.56543017,14.81188552,14.36964959,15.20645942,14.65197595,17.05015534,16.53858332,17.447964,15.42881971,15.9822462,16.07615522,16.92060908
Senegal,0.370299135,0.379434873,0.399310605,0.414270689,0.443734387,0.453614553,0.486730894,0.498992753,0.538942505,0.428725159,0.464937483,0.461633711,0.483059267,0.56767635
Serbia,4.765452923,5.027063599,3.48269319,3.887784656,4.200974416,4.519796804,4.863690464,5.343477041,5.077285886,5.465792571,5.313369797,5.271222677,4.681853617,4.662841401
