Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
942008,Judge Dredd: The Complete Case Files 05,John Wagner,"Wagner, John","Alan Grant, Ian   Gibson, Colin  Wilson, Ron      Smith, Barry Mitchell, Brian Bolland, Steve Dillon, Mike McMahon, John              Cooper",1905437080,9781905437085,4,4.33,Rebellion/2000AD,Paperback,384,2006,1981,26-08-19,24-05-16,comics-and-graphic-novels,comics-and-graphic-novels (#80),read,,,,1,0
941803,Judge Dredd: The Complete Case Files 01,John Wagner,"Wagner, John","Carlos Ezquerra, Peter Harris, Kelvin Gosnell, Massimo Belardinelli, Ron Turner, Ian   Gibson, Brian Bolland, Malcolm Shaw, Charles Herring, Gerry Finley-Day, Pat Mills, Robert Flynn, Mike McMahon, Bill  Ward, John              Cooper",1904265790,9781904265795,3,3.81,REBELLION/2000AD,Paperback,336,2006,1977,26-08-19,22-02-16,comics-and-graphic-novels,comics-and-graphic-novels (#77),read,,,,1,0
16992,Kingdom Come,Mark Waid,"Waid, Mark","Alex Ross, Elliot S. Maggin",1563893304,9781563893308,5,4.26,DC Comics,Paperback,231,1997,1996,,27-08-20,comics-and-graphic-novels,comics-and-graphic-novels (#76),read,"This stands the test of time. Even for a four-issue series, this is a marvel and perhaps the most memorable alternate event in the DC universe. The art style is unlike anything I have ever seen, I'm the older counterpart of my most favourite superheroes are just as righteous and appealing. The story is genuinely crafted with believable catastrophic events. By the end, it leaves you feeling warm, proud and hopeful as the band of the trio (Son of Krypton, The Bat and Diana) March off. Really, the art and the panel comes to life. The climactic battle and Shazam's sacrifice is just icing on the cake. Recommended for all DC fans. No prior reading necessary. Nice Reading.",,,1,0
398916,Infinity Gauntlet,Jim Starlin,"Starlin, Jim","George Pérez, Josef Rubinstein, Ron Lim, Christie Scheele, Ian Laughlin, Evelyn Stein",0785123490,9780785123491,5,4.12,Marvel,Paperback,256,2006,1991,07-02-21,03-10-19,comics-and-graphic-novels,comics-and-graphic-novels (#72),read,"This is a stunner, an absolute and ultimate take at the cosmic conflict between the mad Titan and the entire cosmic universe which results in some devasting but introspective reaction in the fanbase. The enormous number of characters, superhero teams, galactic epmire and cosmic dirties is stunning and incredible at first so comic Rookies, you'll have to read the lead up first which is as good as this. Right from the beginning this comic had me on the edge of the seat as Thanos prowess and intelligence is unfathomable in battles and coupled with his intellectual capacity which is frequently highlighted. The art compliment s and visualizes the story really well and I loved the details and the depth of the whole thing. This comic is a complete package.and has a philosophical and scientific appeal to it too. Not for too young readers as they might not grasp the seriousness and the stakes in this but others will appreciate and get.ecited by the whole shebang that is the Marvel Comic Universe. It's a pretty.messy affair. The battle sequence was one of the greatest I've ever gazed up with Thanos manipulating the fundamental laws of the universe and benidng the superheroes to his own will and exploiting thier weaknesses. A highly Entertaining comic book which is perfectly balanced, as all things in the universe must be. Nice Reading.",,,1,0
6285018,The Infinity Crusade: Volume 2,Jim Starlin,"Starlin, Jim","Ron Lim, Tom Raney, Angel  Medina, Tom Grindberg, Kris Renkewitz",0785131280,9780785131281,4,3.28,Marvel,Paperback,240,2009,1993,,26-04-22,comics-and-graphic-novels,comics-and-graphic-novels (#75),read,,,,1,0
18513586,Infinity,Jonathan Hickman,"Hickman, Jonathan","Nick Spencer, Jason Latour, Jim Cheung, Jerome Opeña, Dustin Weaver, Mike Deodato, Marco Checchetto, Augustin Alessio, Rock-He Kim, Mark Morales, John Livesay, Dave Meikis, Gerry Alanguilan, Guillermo Ortego, Frank Martin, Rain Beredo, Edgar Delgado, Justin Ponsor, Sunny Gho, David Curiel, Paul Mounts, Ive Svorcina, Joe Caramagna, Cory Petit, Clayton Cowles, Chris Eliopoulos, Joe Sabino, Adam Kubert, Laura   Martin",0785184228,9780785184225,4,3.83,Marvel,Hardcover,632,2014,2014,,21-10-19,comics-and-graphic-novels,comics-and-graphic-novels (#73),read,,,,1,0
420315,Infinity War,Jim Starlin,"Starlin, Jim","Tom Raney, Mark Gruenwald, Al Milgrom, Ron Lim, Ian Loughlin, Angel  Medina, Tom Grindberg, Max Scheele, Andy     Smith",0785121056,9780785121053,5,3.7,Marvel,Paperback,400,2006,2006,,29-09-19,comics-and-graphic-novels,comics-and-graphic-novels (#71),read,"I don't need to emhasize the point that this is a comic of epic proportions. Not does this comic comprise of more than a hundred or so characters but also a vast conjoining storyline spreading over the entire cosmos in existence. Of course, it features cosmic all powerful entities like Thanos, Magus, Adam Warlock and his Infinity Watch, Galactus, Infinity, Eternity along with the Avengers, The West Coast Avengers, The X-Men, The New Warriors and other superheroes indulging in a massive power struggle to prevent the destruction a s domination do the universe by the overly ambitious Magus who has returned more powerful than ever. Don't even get me started on the art of the comic book. It's brilliant, colorful and the artists deserve a lot of credit to fit the entire storyline with so much characters pages after pages with the same brilliance and quality of inking. The covers of the graphic novel are or course my favorite part but the opening double paged intros really makes the reader think about the complications that the writers and artists must have had to face. The way they added art to each frame and the overall stylizing of the comic is very intriguing and appealing. The story progresses with an acceptable pace with great dialogues, quotes many of which I'll definitely commit to memory. I was a bit hesitant to begin this graphic novel as I've never read an all out avengers, multiverse crossover event of this this Titanic proportion but I'll be continuing this journey by picking up Infinity Gauntlet, Thanks Quest and Infinity Crusade immmidiately after this. Being a big fan of the MCU I can now finally boast having the knowledge about Adam Warlock and multiple other heroic exploits that haven't made it to the big screen yet. Right from the beginning the comic had my interest which just grew over the six issues and delivered a massive blow (in a good sort of way) by the climax. I mean, a lot of awe inspiring events take place in here. This is not your regular Marvel comic. The stakes.are.higher than ever and with so many characters battling and trying to control the situation I'm thrilled to see.thst this forumla actually worked and thankfully did not have any complaints regarding whatsoever about the comic. Marvel fans need to pick this up immmidiately<br/> The character building and the consistent cosmic art with the Infinity Gems and the Divine power flashing across the pages really hits a new high for me. I'm also thankful for introducing me to an unprecedented venture into crossover multiverse comics. Trust me, this is huge. Had a very nice time reading this. This definitely makes it to one of the best reads of the year list.",,,1,0
38244853,"Harrow County, Vol. 8: Done Come Back",Cullen Bunn,"Bunn, Cullen",Tyler Crook,1506706630,9781506706634,5,4.23,Dark Horse Books,Paperback,112,2018,2018,28-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#70),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
35743742,"Harrow County, Vol. 7: Dark Times A'Coming",Cullen Bunn,"Bunn, Cullen",Tyler Crook,1506703976,9781506703978,5,4.29,Dark Horse Books,Paperback,136,2018,2018,28-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#69),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
34181435,"Harrow County, Vol. 6: Hedge Magic",Cullen Bunn,"Bunn, Cullen",Tyler Crook,1506702082,9781506702087,4,4.1,Dark Horse Books,Paperback,120,2017,2017,25-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#68),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
29236398,"Harrow County, Vol. 3: Snake Doctor",Cullen Bunn,"Bunn, Cullen","Tyler Crook, Hannah Christenson, Carla Speed McNeil",1506700713,9781506700717,5,3.84,Dark Horse Comics,Paperback,136,2016,2016,17-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#66),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
30206744,"Harrow County, Vol. 4: Family Tree",Cullen Bunn,"Bunn, Cullen","Tyler Crook, Keith Wood",1506701418,9781506701417,5,4.14,Dark Horse Books,Paperback,136,2017,2017,23-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#67),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
32141204,"Harrow County, Vol. 5: Abandoned",Cullen Bunn,"Bunn, Cullen","Tyler Crook, Carla Speed McNeil, Jenn Manley Lee",1506701906,9781506701905,5,4.17,Dark Horse Books,Paperback,136,2017,2017,24-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#65),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
26025656,"Harrow County, Vol. 2: Twice Told",Cullen Bunn,"Bunn, Cullen",Tyler Crook,1616559004,9781616559007,5,4.04,Dark Horse Comics,Paperback,120,2016,2016,17-11-19,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#64),read,"I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
25486101,"Harrow County, Vol. 1: Countless Haints",Cullen Bunn,"Bunn, Cullen",Tyler Crook,161655780X,9781616557805,5,4.04,Dark Horse Comics,Paperback,144,2015,2015,,14-11-19,comics-and-graphic-novels,comics-and-graphic-novels (#63),read,"Vol. 1: Countless Haints<br/>  I'm very glad that I picked this up and was totally impressed by the art style and the story progression. Harrow County brings my favorite spooky genre alive with it's masterfully creative illustrations and comic panels with mellow colors and dark shades coloring the pages and complimenting the moods of the characters. Through the four chapters, the story developed a lot and the writing, even for a graphic novel is commendable with exhaustive Southern Vocabulary and speaking characters and traits. We see diverse characters and village folk of all colors and most races. The artworks and the bonus conent added to my awe-inspiring gaze at the book. Looking forward for more bonus content. The pages are worth looking at for longer durations, the story really comes alive with the paintbrush job. The story itself was developed hearitly with multiple natural haunting elements and spooky narrative tone left me bewitched, truly. Nice Reading. Looking forward to binge the series immmidiately. The ending was a stunner. Nice Reading.",,,1,0
18738869,"The Graveyard Book, Volume 1",P. Craig Russell,"Russell, P. Craig","Neil Gaiman, Kevin Nowlan, Tony Harris, Scott Hampton, Galen Showman, Jill Thompson, Stephen B. Scott, Lovern Kindzierski",0062312553,9780062312556,5,4.31,HarperCollins,ebook,192,2014,2014,,14-09-19,comics-and-graphic-novels,comics-and-graphic-novels (#62),read,"Volume 1<br/>I'm glad that I read this one in hardcover. It has so much more appeal than an E-Comic. Right from the first page, I knew that I was in for so much thrill, adventure and some. deep hidden philosophy when I read the first page of the Graveyard book's Graphical Novel Adaption. I mean, the writing and the artwork is just stunning, brilliant and indulgent. This was real easy for me to read and enjoy. Gaiman's classy narration accompanied by the colorful, playful and detailed artwork by different artists really sets the mood for reading and enjoying the story of Nobody Owens, right form the beginning the story grips the reader and drags him in the chilly, misty, Victorian era styleee Gothic graveyard where most of the story takes place.  I got this cozy and relaxed feeling from reading thiiis book which says something really good about the way it's written. Of course, being a graphic novel it's artwork and text bubbles style is unique in it's own way and not too bombastical bit not too indie, just perfect for a adventure, insightful story. You may be surprised that each chapter has been drawn by a different artists with their own peculiar and unique style but it works really well with the book and gets the message across the reader that no matter the drawing style of the artists, the character's and the setting for the book remains true to it's theme and philosophy. I really loved the first half of the book with the man Jack hunting for baby Nobody and his young years at the Graveyard. The second half was contemplative, Serene and had mixed messages for the reader but also very enjoyable and highly creatively drawn. The artwork on this deserves so much appreciation. initially, the reader might not get where the story actually wants to head but once you are done with the first two chapters you never want to put down the book. My favorite chapter from the graphic novel was 'Danse Macabre', you'll see why. This book will work so well with readers of all ages though I would suggest younger audiences to pick them up for not just a cozy comfortable read but a lot of learning experience and anticipation too.  This book impressed me by all means. Hopping on to the next. Nice Reading.",,,1,0
20452208,"The Graveyard Book, Volume 2",P. Craig Russell,"Russell, P. Craig","Neil Gaiman, David Lafuente, Scott Hampton, Kevin Nowlan, Galen Showman",0062312561,9780062312563,4,4.31,HarperCollins,ebook,176,2014,2014,,15-09-19,comics-and-graphic-novels,comics-and-graphic-novels (#61),read,"Volume 2<br/>A masterpiece. Through and through. The end was so satisfying and awe inspiring. The Graveyard book Vol. 2 builds upon the original characters very much and brings back some beloved characters back into the storyline for drama, action and emotional wisdom which is executed very well with talented artist coloring the pages of the graphic novel with hues of passion, hearty dialogues and a strong build up towards the climax. I have one major aversion with the storyline though due to which this book will lose one star resulting in a solid and we'll deserves four star rating and that is the 'Jack of All Trades Organization's which plans the assassination of children throughout history to eliminate their destined rival adolescent teen who might just decimate their 'all powerful reign throughout history'. I mean, what the hell? Certainly they could put up a better story but this seems like an excuse for the writers to just ignore the key component of the man Jack's part in assassination and how vital plot point that was. But enough complaining, other than this everything about this graphic novel was crisp and delightful to read. If course, the art mostly has natural elements with the beautiful potraits and landscapes of the Graveyard and the ambience of a European town with the birds, skies and hills which frequent the comic panels. The final chapters art was stunning, breathtaking and deserved careful inspection by the reader. I did get a cozy and comfortable feeling reading this graphic novel just like I did while reading volume 1 which implies that it did not lose its appeal and it's philosophy. There were a lot of lessons to learn from the story about life, growing up, revenge and the mysteries and the trials the modern man must face. Other than the man Jack gripe this was an almost perfect adaption with a lot of passion. The story keeps propelling forwards with an indulgent atmosphere and coupled with Scarlet, the dreamy girl we saw in Vol. 1 the formula works with absolute perfection and satsifies the readers. The ending scene with the lilac Dawn skies and the mist shaped white rider with Bod ready to face the world, finally all grown up was so satisfying that it is beyond the scope this review. Also, Scarlet added a lot of depth to the story and played an important part in bringing all the antagonists, protagonists and sidekicks together for one final epic climax under the chapel. The Graveyard itself symbolizes different aspects and phases of life, acts as a very powerful metaphor. Also we learn much more than we previously did about Silas and Bod's spectral parents as well as other members of the Graveyard ghost community and each of their stories guides and shapes Bod as he grows into adulthood. A pleasure to read. I very strongly recommend that young children pick this up for a memorable reading experience that will definitely resonate through your adult years. Really, graphic novels deserve the praise and affinity in the modern world and this is a very good example of philosophy intertwined with symbolism. Loved it! Nice Reading!",,,1,0
23209981,"The Girl Who Kicked the Hornet's Nest (Millennium: The Graphic Novels, #3)",Denise Mina,"Mina, Denise","Andrea Mutti, Antonio Fuso, Giulia Brusco, Patricia Mulvihill, Steve Wands, Lee Bermejo, Stieg Larsson",1401237592,9781401237592,3,3.89,Vertigo,Hardcover,272,2015,2015,11-07-19,03-07-19,comics-and-graphic-novels,comics-and-graphic-novels (#59),read,,,,1,0
18248517,"The Girl with the Dragon Tattoo (Millennium: The Graphic Novels, #1.1-1.2)",Denise Mina,"Mina, Denise","Leonardo Manco, Andrea Mutti",1401242863,9781401242862,4,4.59,Vertigo,Paperback,312,2014,2014,,04-07-19,comics-and-graphic-novels,comics-and-graphic-novels (#60),read,"The Girl With The Dragon Tattoo<br/>(Graphic Novel)<br/>  + Twin Protagonist Storyline sticking to the ugly truth and the harsh reality<br/>  + Niche Genre<br/>  + Sub par graphic and art for 2011 release<br/>  + Fast-paced, detailed action mystery with a hauntingly terrifying antagonist<br/>  + Superb character development and portrayal. Establishes a lot about the storyline.<br/>  + Enjoyable. Had me on the edge of my seat.<br/>  + Has a more mature and seasoned feel to it.",,,1,0
17137586,"The Girl with the Dragon Tattoo, Book 2 (Millennium: The Graphic Novels, #1.2)",Denise Mina,"Mina, Denise","Leonardo Manco, Andrea Mutti, Stieg Larsson",1401235581,9781401235581,4,3.95,Vertigo,Hardcover,160,2013,2013,11-07-19,03-07-19,comics-and-graphic-novels,comics-and-graphic-novels (#58),read,,,,1,0
55982741,Gideon Falls #27,Jeff Lemire,"Lemire, Jeff","Andrea Sorrentino, Dave Stewart",,,4,4.1,Image,Kindle Edition,80,2020,2020,,23-12-20,comics-and-graphic-novels,comics-and-graphic-novels (#56),read,,,,1,0
55671730,"Gideon Falls, Vol. 6: The End",Jeff Lemire,"Lemire, Jeff","Andrea Sorrentino, Dave Stewart",1534318674,9781534318670,4,3.58,Image Comics,Paperback,120,2021,2021,,26-05-21,comics-and-graphic-novels,comics-and-graphic-novels (#57),read,,,,1,0
38812881,"Gideon Falls, Vol.1: The Black Barn",Jeff Lemire,"Lemire, Jeff","Andrea Sorrentino, Dave Stewart",1534308520,9781534308527,4,4.15,Image Comics,Paperback,160,2018,2018,,26-11-20,comics-and-graphic-novels,comics-and-graphic-novels (#51),read,,,,1,0
49426398,"Gideon Falls, Vol. 4: The Pentoculus",Jeff Lemire,"Lemire, Jeff","Andrea Sorrentino, Dave Stewart",1534315136,9781534315136,4,4.19,Image Comics,Paperback,120,2020,2020,,27-11-20,comics-and-graphic-novels,comics-and-graphic-novels (#54),read,,,,1,0
44527356,"Gideon Falls, Vol.3: Stations of the Cross",Jeff Lemire,"Lemire, Jeff","Andrea Sorrentino, Dave Stewart",1534313443,9781534313446,4,4.14,Image Comics,Paperback,136,2019,2019,,27-11-20,comics-and-graphic-novels,comics-and-graphic-novels (#53),read,,,,1,0
54232635,"Gideon Falls, Vol. 5: Wicked Worlds",Jeff Lemire,"Lemire, Jeff",Andrea Sorrentino,1534317228,9781534317222,4,4.03,Image Comics,Paperback,120,2020,2020,,27-11-20,comics-and-graphic-novels,comics-and-graphic-novels (#55),read,,,,1,0
40629280,"Gideon Falls, Vol.2: Original Sins",Jeff Lemire,"Lemire, Jeff",Andrea Sorrentino,1534310673,9781534310674,4,4.28,Image Comics,Paperback,136,2019,2019,,27-11-20,comics-and-graphic-novels,comics-and-graphic-novels (#52),read,,,,1,0
23529,From Hell,Alan Moore,"Moore, Alan","Eddie Campbell, Pete Mullins",0861661419,9780861661411,4,4.18,Knockabout Comics ,Paperback,576,2007,1999,,23-09-19,comics-and-graphic-novels,comics-and-graphic-novels (#50),read,,,,1,0
21330,"Fables, Vol. 5: The Mean Seasons (Fables, #5)",Bill Willingham,"Willingham, Bill","Mark Buckingham, Steve Leialoha, Tony Akins, Jimmy Palmiotti",1401204864,9781401204860,4,4.19,Vertigo,Paperback,168,2005,2005,,26-04-18,comics-and-graphic-novels,comics-and-graphic-novels (#49),read,,,,1,0
21329,"Fables, Vol. 3: Storybook Love (Fables, #3)",Bill Willingham,"Willingham, Bill","Mark Buckingham, Steve Leialoha, Lan Medina, Bryan Talbot, Linda Medley, James Jean",,,4,4.13,Vertigo,Paperback,192,2004,2004,,20-04-18,comics-and-graphic-novels,comics-and-graphic-novels (#47),read,"Comic Review <br/>Fable #10-15<br/><br/>Visual Design, Art, Drawing -  8/10<br/><br/>Storyline - 8/10<br/><br/>Characters- 7/10<br/><br/>Rating - 4/5<br/><br/>P.S. - Especially liked Jack's Tale. (5/5)",,,1,0
