quote,author,book,tags,likes
"“Every decision you make can change the world. The best life is the one the gods don't notice. You want to live free, boy, live quietly.""
""I want to be a soldier. A hero.""
""You'll grow out of it.”",Steven Erikson,Gardens of the Moon,,196
"“First in , Last out.
Motto of the bridgeburners”",Steven Erikson,Memories of Ice,,192
"“Destiny is a lie. Destiny is justification for atrocity. It is the means by which murderers armour themselves against reprimand. It is a word intended to stand in place of ethics, denying all moral context.”",Steven Erikson,Midnight Tides,"interest, life, philosophical",174
"“[T]he unnamed soldier is a gift. The named soldier--dead, melted wax--demands a response among the living...a response no-one can make. Names are no comfort, they're a call to answer the unanswerable. Why did she die, not him? Why do the survivors remain anonymous--as if cursed--while the dead are revered? Why do we cling to what we lose while we ignore what we still hold? 
Name none of the fallen, for they stood in our place, and stand there still in each moment of our lives. Let my death hold no glory, and let me die forgotten and unknown. Let it not be said that I was one among the dead to accuse the living.”",Steven Erikson,Deadhouse Gates,,163
"“Survivors do not mourn together. They each mourn alone, even when in the same place. Grief is the most solitary of all feelings. Grief isolates, and every ritual, every gesture, every embrace, is a hopeless effort to break through that isolation.
None of it works. The forms crumble and dissolve.
To face death is to stand alone.”",Steven Erikson,Toll the Hounds,,145
“Such is the vastness of his genius that he can outwit even himself.”,Steven Erikson,Deadhouse Gates,,140
"“And now the page before us blurs.
An age is done. The book must close.
We are abandoned to history.
Raise high one more time the tattered standard
Of the Fallen. See through the drifting smoke
To the dark stains upon the fabric.
This is the blood of our lives, this is the
Payment of our deeds, all soon to be
Forgotten.
We were never what people could be.
We were only what we were.
Remember us.”",Steven Erikson,The Crippled God,,135
"“One day, perhaps, you will see for yourself that regrets are as nothing. The value lies in how they are answered.”",Steven Erikson,House of Chains,,134
“The heart of wisdom is tolerance.”,Steven Erikson,Memories of Ice,,126
"“Ah, Fist, it’s the curse of history that those who should read them, never do.”",Steven Erikson,Deadhouse Gates,,115
"“Now these ashes have grown cold, we open the old book.
These oil-stained pages recount the tales of the Fallen,
a frayed empire, words without warmth. The hearth
has ebbed, its gleam and life's sparks are but memories
against dimming eyes - what cast my mind, what hue my
thoughts as I open the Book of the Fallen
and breathe deep the scent of history?
Listen, then, to these words carried on that breath.
These tales are the tales of us all, again yet again.
We are history relived and that is all, without end that is all.”  
  ―",Steven Erikson,Gardens of the Moon,,105
“No tyrant could thrive where every subject said no. The tyrant thrives when the first fucking fool salutes.”,Steven Erikson,Toll the Hounds,,101
“The soul knows no greater anguish than to take a breath that begins with love and ends with grief.”,Steven Erikson,Toll the Hounds,,99
"“War has its necessities...and I have always understood that. Always known the cost. But, this day, by my own hand, I have realized something else. War is not a natural state. It is an imposition, and a damned unhealthy one. With its rules, we willingly yield our humanity. Speak not of just causes, worthy goals. We are takers of life.”",Steven Erikson,Memories of Ice,,98
"“I'll not deny I am impressed by your mastery of six warrens, Quick Ben. In retrospect, you should have held back on at least half of what you command."" The man made to rise.
""But, Bauchelain,"" the wizard replied, ""I did.”",Steven Erikson,Memories of Ice,,98
"“Save your explanations, I got some questions for you first and you'd better answer them!' [slurred Hellian.]
 'With what?' [Banaschar] sneered. 'Explanations?'
 'No. Answers. There's a difference-'
 'Really? How? What difference?'
 'Explanations are what people use when they need to lie. Y'can always tell those,'cause those don't explain nothing and then they look at you like they just cleared things up when really they did the opposite and they know it and you know it and they know you know and you know they know that you know and they know you and you know them and maybe you go out for a pitcher later but who picks up the tab? That's what I want to know.'
 'Right, and answers?'
 'Answers is what I get when I ask questions. Answers is when you got no choice. I ask, you tell. I ask again, you tell some more. Then I break your fingers, 'cause I don't like what you're telling me, because those answers don't explain nothing!”",Steven Erikson,The Bonehunters,"banaschar, drunk, explanations, funny, hellian, humor, malazan-book-of-the-fallen, philosophy, priest, sergeant, the-bonehunters, wordplay",95
"“The harder the world, the fiercer the honour.”",Steven Erikson,Memories of Ice,,91
"“You stand before a god! Speak your eloquence for all posterity. Be Profound!""
""Profound ... huh."" Temper was silent for a long moment, studying the cobbles of the alley mouth. And then he lifted his helmed head faced Shadowthrone, and said ""Fuck off.”",Steven Erikson,The Crippled God,,85
"“He was a man who would never ask for sympathy. He was a man who sought only to do what was right. Such people appear in the world, every world, now and then, like a single refrain of some blessed song, a fragment caught on the spur of an otherwise raging cacophony.
Imagine a world without such souls.
Yes, it should have been harder to do.”",Steven Erikson,Toll the Hounds,,80
"“He was not a modest man. Contemplating suicide, he summoned a dragon.'
Gothos' Folly”",Steven Erikson,The Crippled God,,80
“What makes a Malazan soldier so dangerous? They’re allowed to think.”,Steven Erikson,Deadhouse Gates,"soldier, thinking",77
"“When you've burned the bridges behind you, don't go starting a fire on the one in front of you.”",Steven Erikson,The Bonehunters,,70
"“Ben Adaephon Delat,"" Pearl said plaintively, ""see the last who comes. You send me to my death.""
 ""I know,"" Quick Ben whispered.
 ""Flee, then. I will hold them enough to ensure your escape no more.""
 Quick Ben sank down past the roof.
 Before he passed from sight Pearl spoke again. ""Ben Adaephon Delat, do you pity me?""
 ""Yes"" he replied softly, then pivoted and dropped down into darkness.”",Steven Erikson,Gardens of the Moon,"malazan, of-the-moon, steven-erikson",64
"“Evil is nothing but a word, an objectification where no objectification is necessary. Cast aside this notion of some external agency as the source of inconceivable inhumanity - the sad truth is our possession of an innate proclivity towards indifference, towards deliberate denial of mercy, towards disengaging all that is moral within us.
But if that is too dire , let's call it evil. And paint it with fire and venom.”",Steven Erikson,Toll the Hounds,,64
“People don’t change to suit their god; they change their god to suit them.”,Steven Erikson,Toll the Hounds,,63
"“We are all lone souls. It pays to know humility, lest the delusion of control, of mastery, overwhelms. And, indeed, we seem a species prone to that delusion, again and ever again.""
~Fiddler, pg. 558”",Steven Erikson,Deadhouse Gates,,61
"“Oh, measure it all out! Acceptable levels of misery and suffering!' The cane swung down, thumped hard on the ground. 'Acceptable? Who the fuck says any level is acceptable? What sort of mind thinks that?'",Steven Erikson,,inspirational,61
"“Giving advice to a child is like flinging sand at an obsidian wall. Nothing sticks. The brutal truth is that we each suffer our own lessons—they can’t be danced round. They can’t be slipped past. You cannot gift a child with your scars—they arrive like webs, constricting, suffocating, and that child will struggle and strain until they break. No matter how noble your intent, the only scars that teach them anything are the ones they earn themselves.”",Steven Erikson,Dust of Dreams,reminding,58
"“We have a talent for disguising greed under the cloak of freedom. As for past acts of depravity, we prefer to ignore those. Progress, after all, means to look ever forward, and whatever we have trampled in our wake is best forgotten.”  
  ―",Steven Erikson,Midnight Tides,,58
"“Brys, how big do you want to make your escort?""
""Two brigades and two battalions, sire.""
""Is that reasonable?"" Tehol asked, looking around.
""I have no idea,"" Janath replied. ""Bugg?""
""I'm no general, my Queen.""
""We need an expert opinion, then,"" said Tehol. ""Brys?”",Steven Erikson,Dust of Dreams,"bolkando, bonehunters, escort, lether, mael, malazan",57
"“I am here to arrest your manservant. The one named Bugg.’
‘Oh, now really, his cooking isn’t that bad.”",Steven Erikson,Reaper's Gale,,51
"“Why, without a sense of humour, you are blind to so much in the world. To human nature. To the absurdity of so much that we say and do.”",Steven Erikson,Reaper's Gale,,50
"“Beak, can you hold your own in what’s to come?'
A low murmuring reply: 'Yes sir. You’ll see. Everyone will because you’re all my friends and friends are important. The most important thing in the world. And I’ll show you.”",Steven Erikson,Reaper's Gale,,49
“Shake your fist all you want but dead is dead.”,Steven Erikson,Gardens of the Moon,,49
"“Write the following: ""Private missive, from Lieutenant Master-Sergeant Field Quartermaster Pores, to Fist Kindly. Warmest salutations and congratulations on your promotion, sir. As one might observe from your advancement and, indeed, mine, cream doth rise, etc. In as much as I am ever delighted in corresponding with you, discussing all maner of subjects in all possible idioms, alas, this subject is rather more official in nature. In short, we are faced with a crisis of the highest order. Accordignly, I humbly seek your advice and would suggest we arrange a most private meeting at the earliest convenience. Yours affectionately, Pores."" Got that, Himble?'
'Yes sir'
'Please read it back to me.'
'""Pores to Kindly meet in secret when?""'
'Excellent, Dispatch at once, Himble”",Steven Erikson,The Crippled God,,49
"“Gods, I wish the world was full of passive women.He thought for a moment longer, then scowled. On second thoughts, what a nightmare that'd be. It's the job of a man to fan the spark into flames, not quench it...”",Steven Erikson,Memories of Ice,"lust, men, pursuit-of-love, women",48
"“Chaos needs no allies, for it dwells like a poison in every one of us.”",Steven Erikson,Midnight Tides,"malazan, understanding",47
“In war everyone loses. This brutal truth can be seen in the eyes of every solider in every world.”,Steven Erikson,Dust of Dreams,,47
"“Someone coughed nearby, from some huddle of stones, and then spoke. ‘So, who are we fighting for again?’
Fiddler could not place the voice.
Nor the one that replied, ‘Everyone.’
A long pause, and then, ‘No wonder we’re losing.”",Steven Erikson,The Crippled God,,47
"“Words are like coin—it pays to hoard.""
""Until you die on a bed of gold,"" Paran said.”",Steven Erikson,Gardens of the Moon,,46
"“Is there anything more worthless than excuses?
-Emperor Kellanved”",Steven Erikson,Dust of Dreams,,44
“No-one chooses me. I do not give anyone that right. I am Karsa Orlong of the Teblor. All choices belong to me.”,Steven Erikson,Reaper's Gale,,44
"“Do not seek to find hope among your leaders. They are the repositories of poison. Their interest in you extends only so far as their ability to control you. From you, they seek duty and obedience, and they will ply you with the language of stirring faith. They seek followers, and woe to those who question, or voice challenge. ‘Civilization after civilization, it is the same. The world falls to tyranny with a whisper. The frightened are ever keen to bow to a perceived necessity, in the belief that necessity forces conformity, and conformity a certain stability. In a world shaped into conformity, dissidents stand out, are easily branded and dealt with. There is no multitude of perspectives, no dialogue. The victim assumes the face of the tyrant, self-righteous and intransigent, and wars breed like vermin. And people die.”",Steven Erikson,Midnight Tides,,43
"“I love you still, but with your death I succumbed to a kind of infatuation. I convinced myself that what you and I had, so very briefly, was of far vaster and deeper import than it truly was. Of all the weapons we chose to turn upon ourselves, guilt is the sharpest, Silverfox. It can carve one's own past into unrecognizable shapes, false memories leading to beliefs that sow all kinds of obsessions.”",Steven Erikson,Memories of Ice,,43
"“Name none of the fallen, for they stand in our place, and stand there still in each moment of our lives. Let my death hold no glory, and let me die forgotten and unknown. Let it not be said that I was one among the dead to accuse the living.”",Steven Erikson,Deadhouse Gates,,43
"“Aye.' It's a good word, I think. More a whole attitude than a word, really. With lots of meaning in it, too. A bit of 'yes' and a bit of 'well, fuck' and maybe some 'we're all in this mess together'. So, a word to sum up the Malazans.”",Steven Erikson,Dust of Dreams,,43
"“Very well, permit me, if you will, on this night. To break your hearts once more.”  
  ―",Steven Erikson,Memories of Ice,,43
"“Open to them your hand to the shore, watch them walk 
into the sea.
Press upon them all they need, see them yearn for all they 
want.
Gift to them the calm pool of words, watch them draw 
the sword.
Bless upon them the satiation of peace, see them starve for 
war.
Grant them darkness and they will lust for light.
Deliver to them death and hear them beg for life.
Beget life and they will murder your kin.
Be as they are and they see you different.
Show wisdom and you are a fool.
The shore gives way to the sea.
And the sea, my friends,
Does not dream of you.”",Steven Erikson,Reaper's Gale,,43
"“Shadow is ever besieged, for that is its nature. Whilst darkness devours, and light steals. And so one sees shadow ever retreat to hidden places, only to return in the wake of the war between dark and light.”",Steven Erikson,House of Chains,"inspirational, light, poetry, shadow",42
"“He thinks I will hit him. Strike him, with a large stick. Foolish mule. Oh no, I am much more cunning. I will surprise him with kindness… until he grows calm and dispenses with all watchfulness, and then… ha! I shall punch him in the nose! Won't he be surprised! No mule can match wits with me. Oh yes, many have tried, and almost all have failed!”",Steven Erikson,The Bonehunters,,39
“Courting is the art of growing like mould on the one you want.”,Steven Erikson,The Crippled God,,39
"“Never, dear gods. Never mess with mortals.”",Steven Erikson,The Bonehunters,religion,38
"“Karsa reached down, gathered the skeletal figure into his arms, and then settled back. ‘I stepped over corpses on the way here,’ the Toblakai said. ‘People no one cared about, dying alone. In my barbaric village this would never happen, but here in this city, this civilized jewel, it happens all the time. (...) What is your name?’
‘Munug.’
‘Munug. This night – before I must rise and walk into the temple – I am a village. And you are here, in my arms. You will not die uncared for.’
‘You – you would do this for me? A stranger?’
‘In my village no one is a stranger – and this is what civilization has turned its back on. One day, Munug, I will make a world of villages, and the age of cities will be over. And slavery will be dead, and there shall be no chains – tell your god. Tonight, I am his knight.’
Munug’s shivering was fading. The old man smiled. ‘He knows.’
It wasn’t too much, to take a frail figure into one’s arms for those last moments of life. Better than a cot, or even a bed in a room filled with loved ones. Better, too, than an empty street in the cold rain. To die in someone’s arms – could there be anything more forgiving?
Every savage barbarian in the world knew the truth of this.”",Steven Erikson,The Crippled God,reminding,37
"“My flesh is stone. My blood rages hot as molten iron. I have a thousand eyes. A thousand swords. And one mind.
I have heard the death-cry. Was she kin? She said as much, when first she touched me. We were upon the ground. Far from each other, and yet of a kind.
I heard her die.
And so I came to mourn her, I came to find her body, her silent tomb.
But she dies still. I do not understand. She dies still—and there are strangers. Cruel strangers. I knew them once. I know them now. I know, too, that they will not yield.
Who am I?
What am I?
But I know the answers to these questions. I believe, at last, that I do.
Strangers, you bring pain. You bring suffering. You bring to so many dreams the dust of death.
But, strangers, I am Icarium.
And I bring far worse.”",Steven Erikson,Dust of Dreams,,36
"“money’s just an idea, it has power. Only it’s not real power. Just the promise of power. But that promise is enough so long as everyone keeps pretending it’s real. Stop pretending and it all falls apart.”",Steven Erikson,Midnight Tides,value-of-money,36
"“And perhaps that is the final, most devastating truth. The gods care nothing for ascetic impositions on mortal behaviour. Care nothing for rules of conduct, for the twisted morals of temple priests and monks. Perhaps indeed they laugh at the chains we wrap around ourselves – our endless, insatiable need to find flaws within the demands of life. Or perhaps they do not laugh, but rage at us. Perhaps our denial of life’s celebration is our greatest insult to those whom we worship and serve.”",Steven Erikson,Memories of Ice,,36
"“And over it all, the butterflies swarmed, like a million yellow-pettalled flowers dancing on swirling winds.”",Steven Erikson,Deadhouse Gates,,35
"“Too many regrets. Lost chances—and with each one passing the less human we all became, and the deeper into the nightmare of power we all sank.”",Steven Erikson,Gardens of the Moon,,35
“Don't worry. I am like most people. I can keep my eyes and still see nothing.”,Steven Erikson,Dust of Dreams,,34
“Discipline is as much facing the enemy within as the enemy before you;”,Steven Erikson,The Bonehunters,,34
"“As if the only genuine gestures were the small ones, the ones devoid of an audience. As if true honesty belonged to solitude, since to be witnessed was to perform, and performance was inherently false since it invited expectation.”",Steven Erikson,Midnight Tides,psycology,33
"“Where is the library?”
“Turn right, proceed thirty-four paces, turn right again, twelve paces, then through door on the right, thirty-five paces, through archway on right another eleven paces, turn right one last time, fifteen paces, enter the door on the right.”
Mappo stared at Iskaral Pust.
The High Priest shifted nervously.
“Or,” the Trell said, eyes narrowed, “turn left, nineteen paces.”
“Aye,” Iskaral muttered.”",Steven Erikson,Deadhouse Gates,,33
"“It is not enough to wish for a better world for the children. It is not enough to shield them with ease and comfort. Lostara Yil, if we do not sacrifice our own ease, our own comfort, to make the future's world a better one, then we curse our own children. We leave them a misery they do not deserve; we leave them a host of lessons unearned.”",Steven Erikson,The Crippled God,,33
“It is one thing to lead by example with half a dozen soldiers at your back. It is wholly another with ten thousand.”,Steven Erikson,Deadhouse Gates,,32
"“Seven Cities was an ancient civilization, steeped in the power of antiquity, where Ascendants once walked on every trader track, every footpath, every lost road between forgotten places. It was said the sands hoarded power within their sussurating currents, that every stone had soaked up sorcery like blood, and that beneath every city lay the ruins of countless other cities, older cities, cities that went back to the First Empire itself. It was said each city rose on the backs of ghosts, the substance of spirits thick like layers of crushed bone; that each city forever wept beneath the streets, forever laughed, shouted, hawked wares and bartered and prayed and drew first breaths that brought life and the last breaths that announced death. Beneath the streets there were dreams, wisdom, foolishness, fears, rage, grief, lust and love and bitter hatred.”  
  ―",Steven Erikson,Deadhouse Gates,,32
"“I was needed, but I myself did not need. I had followers, but not allies, and only now do I understand the difference. And it is vast.”",Steven Erikson,House of Chains,,32
"“When one loves all things of the world, when one has that gift of joy, it is not the armour against grief that you might think it to be. Such a person stands balanced on the edge of sadness – there is no other way for it, because to love as he does is to see clearly.”",Steven Erikson,Forge of Darkness,,32
“The courage of husbands is directly proportionate to the proximity of the wife.”,Steven Erikson,Fall of Light,,31
"“All those bickering worshippers, each one convinced their version is the right one. Imagine getting prayers from ten million believers, not one of them believing the same thing as the one kneeling beside him or her. Imagine all those Holy Books, not one of them agreeing on anything, yet all of them purporting to be the word of that one god. Imagine two armies annihilating each other, both in that god's name. Who wouldn't be driven mad by that?”",Steven Erikson,The Bonehunters,,31
"“We are not simple creatures. You dream that with memories will come knowledge, and from knowledge, understanding. But for every answer you find, a thousand new questions arise. All that we are has lead us to where we are, but tells us little of where we're going. Memories are a weight you can never shrug off.”",Steven Erikson,Deadhouse Gates,"inspirational, malazan, stevenerikson",30
"“The Empress expects obedience of her servants, and demands loyalty.’ ‘Any reasonable ruler would have the expectation and the demand the other way round.”",Steven Erikson,Gardens of the Moon,,30
“The heart is neither given nor stolen. The heart surrenders.”,Steven Erikson,House of Chains,,30
"“I warn you all, hatred is finding fertile soil within me. And in your compassion, in your every good intention, you nurture it.”",Steven Erikson,Memories of Ice,warning,29
"“This ain't your fight,' he said to the distant creature. 'Fucking dragon.”",Steven Erikson,Reaper's Gale,,29
"“Power is violence, its promise, its deed. Power cares nothing for reason, nothing for justice, nothing for compassion. It is, in fact, the singular abnegation of these things – once the cloak of deceits is stripped away, this one truth is revealed.”",Steven Erikson,Reaper's Gale,truth,28
"“History meant nothing, because the only continuity was human stupidity.”",Steven Erikson,Toll the Hounds,,28
"“Fiddler briefly wondered about those three dragons - where they had gone, what tasks awaited them - then he shrugged. Their appearance, their departure and, in between and most importantly, their indifference to the four mortals below was a sobering reminder that the world was far bigger than that defined by their own lives, their own desires and goals. The seemingly headlong plunge this journey had become was in truth but the smallest succession of steps, of no greater import than the struggles of a termite.
The worlds live on, beyond us, countless unravelling tales.
In his mind's eye he saw his horizons stretch out on all sides, and as they grew ever vaster he in turn saw himself as ever smaller, ever more insignificant.
We are all lone souls. It pays to know humility, lest the delusion of control, of mastery, overwhelms. And indeed, we seem a species prone to that delusion, again and ever again ...”",Steven Erikson,Deadhouse Gates,,28
"“Now, invite me in, before I lose my temperature.’
‘Temper, you mean.’
‘No, temperature. It’s getting chilly.”",Steven Erikson,Toll the Hounds,,28
"“Ammanas slipped noiselessly forward until he was on the other side of the corpse. ‘It’s her, isn’t it.’
‘It is.’
‘How many times do our followers have to die, Cotillion?’ the god asked, then sighed. ‘Then again, she clearly ceased being a follower some time ago.’
‘She thought we were gone, Ammanas. The Emperor and Dancer. Gone. Dead.’
‘And in a way, she was right.’
‘In a way, aye. But not in the most important way.’
‘Which is?’
Cotillion glanced up, then grimaced. ‘She was a friend.’
‘Ah, that most important way.”",Steven Erikson,House of Chains,,26
"“When I began this journey, I was young. I believed in one thing. I believed in glory. I know now, 'Siballe, that glory is nothing. Nothing. This is what I now understand.'
'What else do you now understand, Karsa Orlong?'
'Not much. Just one other thing. The same cannot be said for mercy.”",steven erikson,House of Chains,mercy,26
"“Innocence is only a virtue, lass, when it is temporary. You must pass from it to look back and recognize its unsullied purity. To remain innocent is to twist beneath invisible and unfathomable forces all your life, until one day you realize that you no longer recognize yourself, and it comes to you that innocence was a curse that had shackled you, stunted you, defeated your every expression of living.”",Steven Erikson,House of Chains,,26
"“The gods have been kicking us around for a long time. When do we say enough?'
'And in their absence, High Fist, will we manage things any better?'
'No,' Paran said, walking past him 'but at least then we won't have the option of blaming someone else.”",Steven Erikson,The Crippled God,,26
“Witness.”,Steven Erikson,Midnight Tides,,26
"“The first law of the multitude is conformity. Civilization is the mechanism of controlling and maintaining that multitude. The more civilized a nation, the more conformed its population, until that civilization’s last age arrives, when multiplicity wages war with conformity. The former grows ever wilder, ever more dysfunctional in its extremities; whilst the latter seeks to increase its measure of control, until such efforts acquire diabolical tyranny.”  
  ―",Steven Erikson,Toll the Hounds,,25
"“Your cynicism lies in your willing abuse of others to consolidate your superiority over them. My cynicism is in regard to humanity’s wilful blindness with respect to its own extinction.’
‘Without that wilful blindness there is naught but despair.’
‘Oh, I am not that cynical. In fact, I do not agree at all. Maybe when the wilful blindness runs its inevitable course, there will be born wilful wisdom, the revelation of seeing things as they are.’
‘Things? To which things are you referring, old man?’
‘Why, that everything of true value is, in fact, free.”",Steven Erikson,Reaper's Gale,reminding,25
“Everything worth fighting for is gained without fighting.”,Steven Erikson,Midnight Tides,,25
"“Hello, Capustan. The Bridgeburners have arrived.”",Steven Erikson,Memories of Ice,,25
"“Self-righteous wrath had planted more corpses in the ground than an empire could lay claim to,”",Steven Erikson,Gardens of the Moon,,25
"“Discipline is the greatest weapon against the self-righteous. We must measure the virtue of our own controlled response when answering the atrocities of fanatics. And yet, let it not be claimed, in our own oratory of piety, that we are without our own fanatics; for the self-righteous breed wherever tradition holds, and most often when there exists the perception that tradition is under assault. Fanatics can be created as easily in an environment of moral decay (whether real or imagined) as in an environment of legitimate inequity or under the banner of a common cause.
Discipline is as much facing the enemy within as the enemy before you; for without critical judgment, the weapon you wield delivers- and let us not be coy here- naught but murder.
And its first victim is the moral probity of your cause.”",Steven Erikson,The Bonehunters,,24
"“We left a debt in blood,’ she said, baring her teeth. ‘Malazan blood. And it seems they will not let that stand.’
They are here. On this shore.
The Malazans are on our shore.”",Steven Erikson,Reaper's Gale,,24
"“Do I see control on all sides, or the illusion of control?"" List’s face twisted slightly. ""Sometimes the two are one and the same. In terms of their effect, I mean. The only difference – or so Coltaine says – is that when you bloody the real thing, it absorbs the damage, while the other shatters.”",Steven Erikson,Deadhouse Gates,,24
"“It is your cowardice that offends us, Warleader.’
‘I refuse your challenge, Bakal. As I did that of Riggis, and as I will all others that come my way-until our return to our camp.’
‘And once there? A hundred warriors shall vie to be first to spill your blood. A thousand. Do you imagine you can withstand them all?’
Tool was silent for a moment. ‘Bakal, have you seen me fight?’
The warrior bared his filed teeth. ‘None of us have. Again you evade my questions!’
‘I have a question for you, Bakal.’
‘Ah! Yes, ask it and hear how a Barghast answers what is asked of him!’
‘Can the Senan afford to lose a thousand warriors?”",Steven Erikson,Dust of Dreams,,23
"“He lifted up another card and set it down before him. 'Priest of Life, hah, now that's a good one. Game's done.'
'Who wins?' the Adjunct, her face pale as candlewax, asked in a whisper.
'Nobody,' Fiddler replied. 'That's Life for you.' He suddenly rose, tottered, then staggered for the door.”",Steven Erikson,The Bonehunters,,23
"“How does a mortal make answer to what his or her kind are capable of? Does each of us, soldier or no, reach a point when all that we’ve seen, survived, changes us inside? Irrevocably changes us. What do we become, then? Less human, or more human? Human enough, or too human?”",Steven Erikson,Deadhouse Gates,,22
"“It is because we understand you, Toblakai, that we do not set the Hounds upon you. You bear your destiny like a standard, a grisly one, true, but then, its only distinction is in being obvious. Did you know that we too left civilization behind? The scribblers were closing in on all sides, you see. The clerks with their purple tongues and darting eyes, their shuffling feet and sloped shoulders, their bloodless lists. Oh, measure it all out! Acceptable levels of misery and suffering!’ The cane swung down, thumped hard on the ground. ‘Acceptable? Who the fuck says any level is acceptable? What sort of mind thinks that?’
Karsa grinned. ‘Why, a civilized one.’
‘Indeed!’ Shadowthrone turned to Cotillion. ‘And you doubted this one!”",Steven Erikson,Toll the Hounds,,22
“All that is worshipped is but a reflection of the worshipper.”,Steven Erikson,The Bonehunters,,22
"“Nostalgia was like a disease, one that crept in and stole the colour from the world and the time you lived in. Made for bitter people. Dangerous people, when they wanted back what never was.”",Steven Erikson,The Crippled God,,21
"“-(...) There's towns, Urb. An' the closer we get t'Letheras, the more of them. Wha's in towns, Urb? Taverns. Bars. So, we're not takin' a straight, pre-dic-table route.
- We're invading Lether from tavern to tavern?
- Aye.”",Steven Erikson,Reaper's Gale,,21
"“If all we seek is an escape, what does that say about the world we live in. We are desperate with our dreams. What - oh, what - does that say?”  
  ―",Steven Erikson,The Crippled God,"dreams, escape, nihilism",20
“Fear bespeaks of wisdom. Recognition of responsibility.”,Steven Erikson,Midnight Tides,,20
"“Curious,” Bauchelain said. “What is it you wish us to do for you?”
“Usurp the king,” Imid Factalo said.
“Usurp, as in depose.”
“Right.”
“Depose, as in remove.”
“Yes.”
“Remove, as in kill.”",Steven Erikson,Bauchelain and Korbal Broach,,20
"“We humans do not understand compassion. In each moment of our lives, we betray it. Aye, we know of its worth, yet in knowing we then attach to it a value, we guard the giving of it, believing it must be earned. T’lan Imass. Compassion is priceless in the truest sense of the word. It must be given freely. In abundance.”",Steven Erikson,Memories of Ice,,20
"“To live a hard life was to make solid and impregnable every way in, until no openings remained and the soul hid in darkness, and no one else could hear its screams, its railing at injustice, its long, agonizing stretches of sadness. Hardness without created hardness within.
Sadness was, she well knew, not something that could be cured. It was not, in fact, a failing, not a flaw, not an illness of spirit. Sadness was never without reason, and to assert that it marked some kind of dysfunction did little more than prove ignorance or, worse, cowardly evasiveness in the one making the assertion. As if happiness was the only legitimate way of being. As if those failing at it needed to be locked away, made soporific with medications; as if the causes of sadness were merely traps and pitfalls in the proper climb to blissful contentment, things to be edged round or bridged, or leapt across on wings of false elation.
Scillara knew better. She had faced her own sadness often enough. Even when she discovered her first means of escaping it, in durhang, she’d known that such an escape was simply a flight from feelings that existed legitimately. She’d just been unable to permit herself any sympathy for such feelings, because to do so was to surrender to their truth.
Sadness belonged. As rightful as joy, love, grief and fear. All conditions of being.
Too often people mistook the sadness in others for self-pity, and in so doing revealed their own hardness of spirit, and more than a little malice.”",Steven Erikson,Toll the Hounds,reminding,20
